Filename,Time (seconds),Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
mhwgo.mp3,19.87628,0.3457,0.0605,0.1362,0.1467,0.0307,0.0316,0.0468,1.0000,0.0239,0.0740,0.0298,0.0964
mhwgo.mp3,20.06204,0.2985,0.0142,0.7424,0.2308,0.6268,0.2384,0.2184,1.0000,0.1422,0.0167,0.0703,0.4170
mhwgo.mp3,20.24780,0.0872,0.0000,0.7392,0.1507,0.6075,0.2528,0.1509,1.0000,0.0533,0.0495,0.1357,0.2939
mhwgo.mp3,20.43356,0.0534,0.0000,0.3099,0.0598,0.2929,0.0589,0.0647,1.0000,0.0051,0.0032,0.1092,0.1057
mhwgo.mp3,20.61932,0.3463,0.0074,0.1623,0.0612,0.1255,0.0274,0.0552,1.0000,0.0018,0.0034,0.1299,0.1203
mhwgo.mp3,20.80508,0.7108,0.0184,0.2969,0.1607,0.1721,0.0013,0.0649,1.0000,0.0000,0.0317,0.2139,0.1338
mhwgo.mp3,20.99084,0.5582,0.0303,0.1018,0.0963,0.1262,0.0223,0.0271,1.0000,0.0073,0.0127,0.0960,0.0751
mhwgo.mp3,21.17660,0.3085,0.0456,0.1289,0.1033,0.0236,0.0287,0.0142,1.0000,0.0000,0.0377,0.0683,0.0972
mhwgo.mp3,21.36236,0.2381,0.0458,1.0000,0.0542,0.1426,0.0303,0.1196,0.6448,0.2532,0.5104,0.1455,0.0256
mhwgo.mp3,21.54812,0.0446,0.0230,1.0000,0.0298,0.1186,0.0231,0.1374,0.2258,0.0268,0.5537,0.1422,0.0285
mhwgo.mp3,21.73388,0.0010,0.0453,0.5395,0.0208,0.1019,0.0335,0.0510,0.0115,0.0174,1.0000,0.0190,0.0220
mhwgo.mp3,21.91964,0.0547,0.0495,0.4359,0.0884,0.0819,0.0611,0.0597,0.0363,0.0046,1.0000,0.0292,0.0255
mhwgo.mp3,22.10540,0.0409,0.0307,0.6353,0.1082,0.0829,0.0871,0.0352,0.0254,0.0178,1.0000,0.0255,0.0679
mhwgo.mp3,22.29116,0.0059,0.0688,0.6216,0.1852,0.0914,0.0853,0.0417,0.0925,0.0000,1.0000,0.0846,0.0119
mhwgo.mp3,22.47692,0.0241,0.0698,0.3719,0.0930,0.1779,0.0147,0.0416,0.0198,0.0065,1.0000,0.0674,0.0083
mhwgo.mp3,22.66268,0.0019,0.0787,0.1337,0.0545,0.1798,0.0329,0.2473,0.0243,0.0221,1.0000,0.0629,0.1069
mhwgo.mp3,22.84844,0.0015,0.0645,0.1687,0.1551,0.1145,0.0694,0.6463,0.0507,0.0193,1.0000,0.1097,0.1619
mhwgo.mp3,23.03420,0.0142,0.0430,1.0000,0.2436,0.0822,0.0460,0.8785,0.0540,0.0000,0.4359,0.1463,0.1390
mhwgo.mp3,23.21995,0.1248,0.1498,1.0000,0.1715,0.1862,0.0917,0.4757,0.0000,0.0463,0.4142,0.1990,0.0000
mhwgo.mp3,23.40571,0.0701,0.0202,1.0000,0.1251,0.2385,0.0511,0.2245,0.0562,0.0019,0.9911,0.1611,0.0424
mhwgo.mp3,23.59147,0.0259,0.1877,0.6067,0.2807,0.2060,0.1183,0.3145,0.1034,0.0419,1.0000,0.0440,0.1660
mhwgo.mp3,23.77723,0.0186,0.1747,0.3428,0.2522,0.1718,0.1119,0.9588,0.1008,0.0188,1.0000,0.1570,0.2453
mhwgo.mp3,23.96299,0.0680,0.0000,0.1866,0.3998,0.5987,0.1620,1.0000,0.1188,0.0250,0.1351,0.4533,0.1205
mhwgo.mp3,24.14875,0.0496,0.0001,0.0712,0.0669,1.0000,0.0886,0.0954,0.6317,0.0220,0.0648,0.0039,0.2871
mhwgo.mp3,24.33451,0.0227,0.0825,0.4045,0.1205,0.7289,0.1242,0.1271,0.4621,0.0673,0.0408,0.1138,1.0000
mhwgo.mp3,24.52027,0.0107,0.0072,0.3695,0.2944,0.3262,0.2012,0.0735,0.3415,0.1092,0.0138,0.1755,1.0000
mhwgo.mp3,24.70603,0.0294,0.0087,0.2832,0.1992,0.5467,0.0723,0.1902,0.2297,0.0940,0.0000,0.0526,1.0000
mhwgo.mp3,24.89179,0.0588,0.0290,0.1197,0.1651,0.6240,0.0336,0.1556,0.2889,0.1019,0.0079,0.0508,1.0000
mhwgo.mp3,25.07755,0.0345,0.0416,0.1458,0.1138,0.2968,0.0000,0.1238,0.3049,0.0312,0.0025,0.0486,1.0000
mhwgo.mp3,25.26331,0.0332,0.0577,0.0892,0.0377,0.6359,0.0859,0.1435,0.0597,0.1132,0.0000,0.0451,1.0000
mhwgo.mp3,25.44907,0.0419,0.0064,0.8814,0.0493,1.0000,0.4922,0.1213,0.0775,0.2486,0.0310,0.1342,0.9338
mhwgo.mp3,25.63483,0.0406,0.0136,0.6233,0.0440,1.0000,0.0545,0.0593,0.0967,0.1381,0.0338,0.0722,0.4928
mhwgo.mp3,25.82059,0.1041,0.0417,0.7433,0.0644,1.0000,0.1020,0.0160,0.7911,0.0933,0.1095,0.0166,0.5013
mhwgo.mp3,26.00635,0.1439,0.0000,0.3958,0.2790,0.3597,0.1537,0.0149,1.0000,0.0791,0.0795,0.0416,0.2375
mhwgo.mp3,26.19211,0.0379,0.0288,0.2013,0.1642,0.2231,0.0410,0.0096,1.0000,0.0297,0.0056,0.0180,0.3247
mhwgo.mp3,26.37787,0.0068,0.0033,1.0000,0.0937,0.1646,0.0043,0.0819,0.3624,0.0508,0.0760,0.1791,0.0896
mhwgo.mp3,26.56363,0.0357,0.0234,1.0000,0.0414,0.1425,0.0000,0.0283,0.4545,0.0090,0.0990,0.0666,0.0694
mhwgo.mp3,26.74939,0.0073,0.0522,1.0000,0.1125,0.0192,0.0000,0.0811,0.3386,0.0100,0.6179,0.1361,0.0382
mhwgo.mp3,26.93515,0.0474,0.1440,0.8881,0.1204,0.0642,0.0636,0.0820,0.2236,0.1272,1.0000,0.1026,0.1174
mhwgo.mp3,27.12091,0.0464,0.0623,0.8234,0.2522,0.0536,0.0363,0.0133,0.2740,0.0659,1.0000,0.0181,0.1921
mhwgo.mp3,27.30667,0.0385,0.0553,0.4809,0.1180,0.1703,0.0738,0.0690,0.2209,0.0713,1.0000,0.0737,0.1462
mhwgo.mp3,27.49243,0.0418,0.0516,0.4822,0.1121,0.0794,0.1741,0.0221,0.2009,0.0905,1.0000,0.0063,0.1412
mhwgo.mp3,27.67819,0.0723,0.0382,0.5812,0.1306,0.1868,0.0294,0.0338,0.1193,0.0286,1.0000,0.0084,0.0544
mhwgo.mp3,27.86395,0.0405,0.0385,1.0000,0.0518,0.2213,0.0336,0.0659,0.0860,0.0440,0.5117,0.0938,0.0762
mhwgo.mp3,28.04971,0.0052,0.0198,1.0000,0.1373,0.1222,0.0435,0.0496,0.1287,0.0000,0.2755,0.1187,0.0949
mhwgo.mp3,28.23546,0.0720,0.0000,1.0000,0.0444,0.0802,0.1244,0.0639,0.5791,0.0338,0.2310,0.0341,0.1516
mhwgo.mp3,28.42122,0.1180,0.0138,0.5435,0.1315,0.0252,0.2315,0.0499,1.0000,0.0302,0.2170,0.0375,0.1355
mhwgo.mp3,28.60698,0.0501,0.0355,0.4503,0.0263,0.0626,0.1415,0.0000,1.0000,0.0493,0.0736,0.0051,0.1524
mhwgo.mp3,28.79274,1.0000,0.0100,0.0970,0.1000,0.0717,0.0996,0.0215,0.6250,0.0489,0.0306,0.0074,0.3386
mhwgo.mp3,28.97850,1.0000,0.0147,0.0959,0.0919,0.0198,0.0931,0.1036,0.7082,0.0496,0.0388,0.0196,0.3280
mhwgo.mp3,29.16426,0.8287,0.0141,0.3174,0.1057,0.1671,0.0710,0.0268,1.0000,0.0952,0.0103,0.0155,0.1532
mhwgo.mp3,29.35002,0.6772,0.0000,0.2011,0.0409,0.1963,0.0253,0.0221,1.0000,0.0841,0.0114,0.0072,0.3098
mhwgo.mp3,29.53578,1.0000,0.0239,0.1899,0.1114,0.0605,0.0011,0.1540,0.8525,0.0056,0.0102,0.0188,0.1853
mhwgo.mp3,29.72154,0.6867,0.0136,0.1239,0.1192,0.0395,0.0022,0.0463,1.0000,0.0008,0.0185,0.0252,0.0836
